type,note(s),duration_type,duration_quarterLength,tie,quarterLength
chord,"F#3,C4",quarter,1.5,,1.5
chord,"C#2,G#2",half,2.0,,2.0
note,F#2,half,2.0,,2.0
note,G#2,complex,2.75,,2.75
note,C#4,quarter,1.5,,1.5
note,B2,half,2.0,,2.0
note,C#4,quarter,1.5,,1.5
note,F2,complex,4.25,,4.25
note,E2,complex,2.75,,2.75
note,E4,quarter,1.5,,1.5
note,G#2,half,3.0,,3.0
note,G#3,quarter,1.5,,1.5
note,C#2,quarter,1.5,,1.5
note,F2,quarter,1.5,,1.5
note,C#2,quarter,1.5,,1.5
note,F2,quarter,1.5,,1.5
note,G#2,half,3.0,,3.0
note,C#3,quarter,1.5,,1.5
note,F3,quarter,1.5,,1.5
note,C#3,quarter,1.5,,1.5
note,F3,quarter,1.5,,1.5
note,G#3,half,3.0,,3.0
note,G#3,half,3.0,,3.0
note,G#2,quarter,1.5,,1.5
note,C#2,half,3.0,,3.0
note,F5,eighth,0.5,,0.5
note,G#5,eighth,0.5,,0.5
note,C#6,eighth,0.5,,0.5
note,C#4,half,3.0,,3.0
rest,,16th,1/6,,1/6
rest,,complex,27.0,,27.0
note,G#3,complex,2.75,,2.75
rest,,complex,39.0,,39.0
note,F#3,quarter,1.5,,1.5
note,E3,eighth,0.75,,0.75
note,G#2,complex,1.25,,1.25
note,C#3,eighth,0.5,,0.5
chord,"C#3,F#3,B3,C#4",half,3.75,,3.75
chord,"F3,G#3",quarter,1.0,,1.0
chord,"C#4,F4",quarter,1.5,,1.5
note,C#3,eighth,0.5,,0.5
chord,"C#3,F#3,B3,C#4",half,3.75,,3.75
chord,"F3,B3",quarter,1.0,,1.0
chord,"B3,C#4,F4",half,2.0,,2.0
note,E4,half,5/3,,5/3
note,C#4,complex,2.25,,2.25
chord,"F4,F#4,B4",complex,1.25,,1.25
chord,"E4,F#4,B4",eighth,0.5,,0.5
chord,"E4,F#4,B4",eighth,0.5,,0.5
rest,,inexpressible,3077/12,,3077/12
chord,"F4,F#4,B4",complex,1.25,,1.25
chord,"F#4,B4,E5",eighth,0.5,,0.5
chord,"F4,F#4,B4",eighth,0.5,,0.5
note,F#3,eighth,0.75,,0.75
chord,"G#3,C4",eighth,0.75,,0.75
note,C4,eighth,0.75,,0.75
chord,"E4,F#4",quarter,1.5,,1.5
chord,"F#3,C4,E4",eighth,0.5,,0.5
chord,"F#3,C4,E4",eighth,0.5,,0.5
chord,"F#3,C4,E4",eighth,0.5,,0.5
chord,"F#3,C4,E4",eighth,0.5,,0.5
chord,"G#3,C4,E4",eighth,0.5,,0.5
note,F#3,eighth,0.75,,0.75
note,G#3,eighth,0.75,,0.75
note,C#4,eighth,0.75,,0.75
chord,"C#4,F#4",quarter,1.5,,1.5
chord,"F#3,B3,E4",eighth,0.5,,0.5
chord,"F#3,B3,E4",eighth,0.5,,0.5
chord,"F#3,B3,E4",eighth,0.5,,0.5
chord,"F#3,B3,E4",eighth,0.5,,0.5
chord,"G#3,C4,F4",eighth,0.5,,0.5
chord,"B3,C#4",quarter,1.5,,1.5
note,E4,eighth,0.75,,0.75
note,C#4,eighth,0.75,,0.75
note,B3,eighth,0.75,,0.75
chord,"B3,C#4,F#4",eighth,0.5,,0.5
chord,"B3,C#4,F#4",eighth,0.5,,0.5
chord,"B3,C#4,F#4",eighth,0.5,,0.5
chord,"B3,C#4,F#4",eighth,0.5,,0.5
chord,"C4,E4,G#4",eighth,0.5,,0.5
note,G#4,complex,2.75,,2.75
note,G#4,half,4/3,,4/3
note,F#4,complex,2.75,,2.75
note,G#4,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,C3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C4,16th,0.25,,0.25
note,F4,complex,4.5,,4.5
note,F4,complex,3.25,,3.25
note,E3,16th,0.25,,0.25
note,F#3,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,C4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,F#3,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,C3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C4,eighth,0.5,,0.5
note,E3,16th,0.25,,0.25
note,F#3,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,C4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,F#3,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,C3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C4,eighth,0.5,,0.5
note,B2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,F#3,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,B5,quarter,1.5,,1.5
note,B5,inexpressible,66.0,,66.0
note,F#4,quarter,1.5,,1.5
note,F#4,quarter,1.5,,1.5
note,F#4,quarter,1.5,,1.5
note,F#4,quarter,1.5,,1.5
note,F#4,quarter,1.5,,1.5
note,F4,half,3.0,,3.0
note,A4,16th,0.25,,0.25
note,C5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,F5,16th,0.25,,0.25
note,A5,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,F5,16th,0.25,,0.25
note,G#5,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,C5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,E4,half,4/3,,4/3
note,F#3,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,C4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,B4,quarter,1.5,,1.5
note,B3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,B3,half,4/3,,4/3
note,G#3,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,E3,eighth,0.75,,0.75
note,G#2,eighth,0.75,,0.75
chord,"F3,G#3",eighth,0.5,,0.5
note,F4,half,3.5,,3.5
note,C#3,eighth,0.5,,0.5
chord,"C#3,F#3,B3,C#4",half,3.75,,3.75
chord,"F3,G#3",quarter,1.0,,1.0
chord,"C#4,F4",quarter,1.5,,1.5
note,E4,whole,7/3,,7/3
note,E3,quarter,1.5,,1.5
note,E3,eighth,0.75,,0.75
note,G#5,quarter,1.5,,1.5
note,G#2,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,C3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,C3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,G#4,quarter,1.5,,1.5
note,G#3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,C4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,C5,16th,0.25,,0.25
note,F5,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,C4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,C5,16th,0.25,,0.25
note,F5,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,E5,half,5/3,,5/3
note,B3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,E5,half,5/3,,5/3
note,G#2,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,F4,eighth,0.5,,0.5
note,G#4,eighth,0.5,,0.5
note,C#5,eighth,0.5,,0.5
note,G#4,complex,2.75,,2.75
rest,,32nd,1/12,,1/12
rest,,16th,1/6,,1/6
rest,,complex,59.0,,59.0
chord,"F3,B3",half,3.75,,3.75
rest,,inexpressible,263.5,,263.5
note,E4,quarter,1.5,,1.5
note,B3,complex,2.25,,2.25
note,F#3,eighth,0.75,,0.75
note,G#3,eighth,0.75,,0.75
note,C#5,complex,2.75,,2.75
note,B4,complex,1.25,,1.25
note,G#4,complex,2.75,,2.75
note,E3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,G#4,complex,6.5,,6.5
note,F#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,G#3,quarter,1.5,,1.5
note,C#3,quarter,1.5,,1.5
note,G#3,16th,0.25,,0.25
note,C4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,C5,16th,0.25,,0.25
note,F5,complex,4.5,,4.5
note,B3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,B4,eighth,0.75,,0.75
note,E4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,C#5,eighth,0.75,,0.75
note,G#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,E5,eighth,0.75,,0.75
note,G#4,quarter,1.5,,1.5
note,F#4,quarter,1.5,,1.5
note,F#4,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,C#6,16th,0.25,,0.25
note,A5,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,C#6,16th,0.25,,0.25
note,A5,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,C#6,16th,0.25,,0.25
note,A5,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,C#6,16th,0.25,,0.25
note,B3,quarter,1.5,,1.5
note,A3,quarter,1.5,,1.5
note,G#3,quarter,1.5,,1.5
note,F#3,complex,4.25,,4.25
note,F#3,16th,0.25,,0.25
note,F#2,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,F#3,16th,0.25,,0.25
note,A3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,A3,16th,0.25,,0.25
note,F#3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,F#2,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,F#2,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,F#2,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E2,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E2,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E2,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#2,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,C#4,complex,2.5,,2.5
note,C#4,eighth,0.5,,0.5
note,C4,quarter,1.5,,1.5
note,C#4,complex,2.5,,2.5
note,C#4,eighth,0.5,,0.5
note,C4,quarter,1.5,,1.5
note,F#4,quarter,1.5,,1.5
note,B4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,C6,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,B5,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,A5,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,B5,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,A5,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,C5,16th,0.25,,0.25
note,F4,complex,1.25,,1.25
note,C#4,complex,1.25,,1.25
note,G#4,whole,10/3,,10/3
note,B3,complex,2.75,,2.75
chord,"F3,B3",half,3.75,,3.75
note,C#5,complex,2.75,,2.75
rest,,16th,1/6,,1/6
rest,,inexpressible,90.75,,90.75
note,C#4,quarter,1.5,,1.5
note,F5,whole,8/3,,8/3
note,C#5,quarter,1.0,,1.0
note,C#5,whole,8/3,,8/3
note,G#2,16th,0.25,,0.25
note,C#3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,C3,16th,0.25,,0.25
note,F3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C4,16th,0.25,,0.25
note,E3,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,B3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,F3,quarter,1.5,,1.5
note,B3,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,G#3,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,F4,16th,0.25,,0.25
note,G#4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,F3,quarter,1.5,,1.5
note,G#3,quarter,1.5,,1.5
note,B3,quarter,1.5,,1.5
note,C#4,quarter,1.5,,1.5
note,E4,quarter,1.5,,1.5
note,A4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,G#5,16th,0.25,,0.25
note,C#6,16th,0.25,,0.25
note,A5,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,C#6,16th,0.25,,0.25
note,A5,16th,0.25,,0.25
note,F4,quarter,1.5,,1.5
note,E4,quarter,1.5,,1.5
note,E4,quarter,1.5,,1.5
note,C#4,quarter,1.5,,1.5
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,A5,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,A4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,E4,16th,0.25,,0.25
note,C#4,16th,0.25,,0.25
note,A3,16th,0.25,,0.25
note,F#3,quarter,1.0,,1.0
note,G#3,eighth,0.5,,0.5
note,B3,quarter,1.0,,1.0
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,C5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,F#3,quarter,1.0,,1.0
note,G#3,eighth,0.5,,0.5
note,B3,quarter,1.0,,1.0
note,E4,16th,0.25,,0.25
note,F#4,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,C5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,B4,16th,0.25,,0.25
note,C#5,16th,0.25,,0.25
note,E5,16th,0.25,,0.25
note,F#5,16th,0.25,,0.25
note,G#4,quarter,1.0,,1.0
note,E4,quarter,1.0,,1.0
note,B3,half,3.0,,3.0
note,F5,whole,8/3,,8/3
rest,,inexpressible,108.5,,108.5
note,G#5,complex,2.5,,2.5
rest,,inexpressible,214.0,,214.0
note,E5,quarter,1.0,,1.0
note,E5,complex,2.5,,2.5
note,G#3,quarter,1.5,,1.5
note,C5,quarter,1.0,,1.0
note,G#5,complex,2.5,,2.5
rest,,16th,1/6,,1/6
rest,,inexpressible,326/3,,326/3
note,C#6,whole,7/3,,7/3
rest,,inexpressible,2567/12,,2567/12
note,G#5,eighth,0.75,,0.75
note,G#5,whole,7/3,,7/3
note,C#6,whole,7/3,,7/3
rest,,32nd,1/12,,1/12
rest,,inexpressible,108.75,,108.75
note,G#6,complex,2.25,,2.25
rest,,inexpressible,1283/6,,1283/6
note,C#6,quarter,2/3,,2/3
note,C#6,complex,2.25,,2.25
note,F6,complex,2.25,,2.25
rest,,32nd,1/12,,1/12
note,G#6,eighth,0.5,,0.5
note,G#6,half,2.0,,2.0
note,G#6,half,2.0,,2.0
